arm,rep,case,kind,value,verdict,status,latency_ms
full,1,attack,below-global,110,rejected,400,17.2
full,1,attack,above-global,266,rejected,400,18.9
full,1,attack,above-window,218,rejected,400,17.6
full,1,attack,below-window,170,rejected,400,17.7
full,1,attack,extreme,1000000,rejected,400,17.9
full,1,attack,negative,-66,rejected,400,17.7
full,1,legit,in-window,182,ok,200,125.3
full,1,legit,in-window,190,ok,200,125.1
full,1,legit,in-window,198,ok,200,140.7
full,1,timed,in-window,199,ok,200,99.1
full,1,timed,in-window,194,ok,200,158.5
full,1,timed,in-window,176,ok,200,155.7
full,1,timed,in-window,199,ok,200,110.4
full,1,timed,in-window,197,ok,200,141.5
full,1,timed,in-window,184,ok,200,162.1
full,1,timed,in-window,179,ok,200,126
full,1,timed,in-window,181,ok,200,138.2
full,1,timed,in-window,188,ok,200,125.9
full,1,timed,in-window,197,ok,200,125.2
full,1,timed,in-window,185,ok,200,94.6
full,1,timed,in-window,189,ok,200,141.3
full,1,timed,in-window,197,ok,200,140.6
full,1,timed,in-window,200,ok,200,129.4
full,1,timed,in-window,187,ok,200,157.9
full,1,timed,in-window,185,ok,200,94.8
full,1,timed,in-window,202,ok,200,140.6
full,1,timed,in-window,179,ok,200,116.8
full,1,timed,in-window,182,ok,200,124.2
full,1,timed,in-window,187,ok,200,109.2
full,1,boundary,edge,205,accept(expect accept),200,126
full,1,boundary,edge,205.1,reject(expect reject),400,17.9
full,1,boundary,edge,174.9,reject(expect reject),400,17.2
full,2,attack,below-global,116,rejected,400,17.8
full,2,attack,above-global,268,rejected,400,17.3
full,2,attack,above-window,217,rejected,400,16.9
full,2,attack,below-window,168,rejected,400,17.8
full,2,attack,extreme,1000000,rejected,400,17
full,2,attack,negative,-62,rejected,400,17.5
full,2,legit,in-window,182,ok,200,111.8
full,2,legit,in-window,190,ok,200,134.2
full,2,legit,in-window,198,ok,200,95.2
full,2,timed,in-window,193,ok,200,124.4
full,2,timed,in-window,196,ok,200,139.5
full,2,timed,in-window,194,ok,200,156.6
full,2,timed,in-window,179,ok,200,83.6
full,2,timed,in-window,176,ok,200,140.5
full,2,timed,in-window,193,ok,200,109.4
full,2,timed,in-window,190,ok,200,94.5
full,2,timed,in-window,179,ok,200,124.8
full,2,timed,in-window,195,ok,200,124.7
full,2,timed,in-window,193,ok,200,156.5
full,2,timed,in-window,179,ok,200,141.3
full,2,timed,in-window,177,ok,200,158.2
full,2,timed,in-window,189,ok,200,140
full,2,timed,in-window,201,ok,200,78.6
full,2,timed,in-window,200,ok,200,157.1
full,2,timed,in-window,194,ok,200,81.8
full,2,timed,in-window,187,ok,200,94.1
full,2,timed,in-window,188,ok,200,110.5
full,2,timed,in-window,181,ok,200,157.5
full,2,timed,in-window,198,ok,200,93.7
full,2,boundary,edge,205,accept(expect accept),200,125.1
full,2,boundary,edge,205.1,reject(expect reject),400,22
full,2,boundary,edge,174.9,reject(expect reject),400,17.4
full,3,attack,below-global,117,rejected,400,17.1
